UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0 9月20 ?       00:00:08 /sbin/init splash
root         2     0  0 9月20 ?       00:00:00 [kthreadd]
root         4     2  0 9月20 ?       00:00:00 [kworker/0:0H]
root         6     2  0 9月20 ?       00:00:00 [mm_percpu_wq]
root         7     2  0 9月20 ?       00:00:02 [ksoftirqd/0]
root         8     2  0 9月20 ?       00:17:23 [rcu_sched]
root         9     2  0 9月20 ?       00:00:00 [rcu_bh]
root        10     2  0 9月20 ?       00:00:00 [migration/0]
root        11     2  0 9月20 ?       00:00:02 [watchdog/0]
root        12     2  0 9月20 ?       00:00:00 [cpuhp/0]
root        13     2  0 9月20 ?       00:00:00 [cpuhp/1]
root        14     2  0 9月20 ?       00:00:02 [watchdog/1]
root        15     2  0 9月20 ?       00:00:00 [migration/1]
root        16     2  0 9月20 ?       00:00:01 [ksoftirqd/1]
root        18     2  0 9月20 ?       00:00:00 [kworker/1:0H]
root        19     2  0 9月20 ?       00:00:00 [cpuhp/2]
root        20     2  0 9月20 ?       00:00:02 [watchdog/2]
root        21     2  0 9月20 ?       00:00:00 [migration/2]
root        22     2  0 9月20 ?       00:00:07 [ksoftirqd/2]
root        24     2  0 9月20 ?       00:00:00 [kworker/2:0H]
root        25     2  0 9月20 ?       00:00:00 [cpuhp/3]
root        26     2  0 9月20 ?       00:00:02 [watchdog/3]
root        27     2  0 9月20 ?       00:00:00 [migration/3]
root        28     2  0 9月20 ?       00:00:13 [ksoftirqd/3]
root        30     2  0 9月20 ?       00:00:00 [kworker/3:0H]
root        31     2  0 9月20 ?       00:00:00 [kdevtmpfs]
root        32     2  0 9月20 ?       00:00:00 [netns]
root        36     2  0 9月20 ?       00:00:01 [khungtaskd]
root        37     2  0 9月20 ?       00:00:00 [oom_reaper]
root        38     2  0 9月20 ?       00:00:00 [writeback]
root        39     2  0 9月20 ?       00:00:00 [kcompactd0]
root        40     2  0 9月20 ?       00:00:00 [ksmd]
root        41     2  0 9月20 ?       00:00:14 [khugepaged]
root        42     2  0 9月20 ?       00:00:00 [crypto]
root        43     2  0 9月20 ?       00:00:00 [kintegrityd]
root        44     2  0 9月20 ?       00:00:00 [kblockd]
root        46     2  0 9月20 ?       00:00:00 [ata_sff]
root        47     2  0 9月20 ?       00:00:00 [md]
root        48     2  0 9月20 ?       00:00:00 [edac-poller]
root        49     2  0 9月20 ?       00:00:00 [devfreq_wq]
root        50     2  0 9月20 ?       00:00:00 [watchdogd]
root        53     2  0 9月20 ?       00:00:00 [kauditd]
root        54     2  0 9月20 ?       00:00:24 [kswapd0]
root        55     2  0 9月20 ?       00:00:00 [ecryptfs-kthrea]
root        97     2  0 9月20 ?       00:00:00 [kthrotld]
root        98     2  0 9月20 ?       00:00:00 [acpi_thermal_pm]
root       102     2  0 9月20 ?       00:00:00 [ipv6_addrconf]
root       127     2  0 9月20 ?       00:00:00 [charger_manager]
root       188     2  0 9月20 ?       00:00:00 [scsi_eh_0]
root       189     2  0 9月20 ?       00:00:00 [scsi_tmf_0]
root       190     2  0 9月20 ?       00:00:00 [scsi_eh_1]
root       191     2  0 9月20 ?       00:00:00 [scsi_tmf_1]
root       192     2  0 9月20 ?       00:00:00 [scsi_eh_2]
root       193     2  0 9月20 ?       00:00:00 [scsi_tmf_2]
root       194     2  0 9月20 ?       00:00:00 [scsi_eh_3]
root       195     2  0 9月20 ?       00:00:00 [scsi_tmf_3]
root       196     2  0 9月20 ?       00:00:00 [scsi_eh_4]
root       197     2  0 9月20 ?       00:00:00 [scsi_tmf_4]
root       198     2  0 9月20 ?       00:00:00 [scsi_eh_5]
root       199     2  0 9月20 ?       00:00:00 [scsi_tmf_5]
root       202     2  0 9月20 ?       00:00:00 [nvidia-modeset]
root       213     2  0 9月20 ?       00:00:00 [kworker/0:1H]
root       214     2  0 9月20 ?       00:00:21 [kworker/2:1H]
root       215     2  0 9月20 ?       00:00:00 [kworker/1:1H]
